start,end,flow,distance
650,653,1,130.5988463771659
650,653,1,220.5988463771659
650,653,1,310.5988463771659
650,653,1,130.5988463771659
604,653,1,213.08339376122788
653,650,1,205.5988463771659
499,650,1,150.9077520313411
604,653,1,83.08339376122788
604,653,1,168.08339376122788
96,248,1,181.57631366852297
653,604,1,223.08339376122788
650,653,1,345.5988463771659
650,653,1,245.5988463771659
653,604,1,253.08339376122788
650,653,1,235.5988463771659
650,653,1,135.5988463771659
653,604,1,143.08339376122788
650,653,1,170.5988463771659
650,653,1,245.5988463771659
653,604,1,153.08339376122788
650,653,1,200.5988463771659
650,653,1,195.5988463771659
653,604,1,198.08339376122788
650,653,1,160.5988463771659
650,653,1,130.5988463771659
604,499,1,101.57855110483032
604,653,1,138.08339376122788
604,499,1,111.57855110483032
604,499,3,121.57855110483032
96,248,2,131.57631366852297
96,248,1,126.57631366852296
604,653,5,193.08339376122788
604,499,1,96.57855110483032
604,499,1,126.57855110483032
96,248,1,126.57631366852296
96,248,1,121.57631366852296
248,96,1,116.57631366852296
604,653,1,198.08339376122788
604,499,1,131.57855110483032
96,248,1,136.57631366852297
650,653,1,290.5988463771659
650,653,1,285.5988463771659
650,653,1,170.5988463771659
650,653,1,285.5988463771659
653,604,1,183.08339376122788
650,653,1,265.5988463771659
650,653,1,165.5988463771659
653,604,1,173.08339376122788
650,653,1,260.5988463771659
650,499,1,155.9077520313411
653,604,1,158.08339376122788
653,604,1,178.08339376122788
653,604,1,183.08339376122788
653,604,1,188.08339376122788
653,604,2,193.08339376122788
653,604,1,198.08339376122788
650,653,2,265.5988463771659
650,653,1,255.5988463771659
650,653,2,250.5988463771659
650,653,2,245.5988463771659
653,604,2,153.08339376122788
653,604,2,158.08339376122788
653,604,2,168.08339376122788
650,653,1,270.5988463771659
650,653,2,185.5988463771659
650,653,1,205.5988463771659
650,653,2,195.5988463771659
650,653,1,185.5988463771659
653,604,1,168.08339376122788
653,604,2,178.08339376122788
653,604,1,183.08339376122788
653,604,1,193.08339376122788
650,653,1,260.5988463771659
650,653,1,250.5988463771659
650,653,2,240.5988463771659
653,604,1,158.08339376122788
653,604,1,163.08339376122788
653,604,2,168.08339376122788
653,604,4,173.08339376122788
653,604,2,188.08339376122788
650,653,1,245.5988463771659
650,653,1,240.5988463771659
653,604,1,163.08339376122788
653,604,1,168.08339376122788
650,653,1,260.5988463771659
653,604,1,218.08339376122788
650,653,1,285.5988463771659
653,604,1,163.08339376122788
650,653,1,270.5988463771659
499,650,1,150.9077520313411
604,499,1,61.578551104830325
604,653,1,168.08339376122788
604,499,2,61.578551104830325
604,499,1,76.57855110483032
604,653,1,178.08339376122788
604,499,1,76.57855110483032
604,499,1,91.57855110483032
604,499,2,96.57855110483032
604,653,1,173.08339376122788
604,653,1,168.08339376122788
604,499,1,86.57855110483032
604,499,2,96.57855110483032
604,653,1,198.08339376122788
604,653,2,193.08339376122788
604,653,1,188.08339376122788
604,653,1,168.08339376122788
604,653,1,153.08339376122788
604,653,1,128.08339376122788
604,653,1,123.08339376122788
604,499,1,91.57855110483032
604,499,1,121.57855110483032
604,653,1,198.08339376122788
604,653,2,178.08339376122788
604,653,3,173.08339376122788
604,499,2,86.57855110483032
604,499,1,91.57855110483032
604,499,2,96.57855110483032
604,499,3,101.57855110483032
604,499,4,106.57855110483032
604,653,3,198.08339376122788
604,653,2,193.08339376122788
604,653,1,188.08339376122788
604,653,1,113.08339376122788
604,499,1,121.57855110483032
604,653,2,88.08339376122788
604,653,1,128.08339376122788
604,499,1,106.57855110483032
604,499,1,121.57855110483032
604,499,2,126.57855110483032
604,499,1,131.57855110483032
604,653,1,183.08339376122788
604,653,1,178.08339376122788
604,653,2,173.08339376122788
604,653,1,168.08339376122788
604,653,1,163.08339376122788
604,499,1,96.57855110483032
604,499,1,101.57855110483032
604,499,4,106.57855110483032
604,499,10,111.57855110483032
604,499,2,116.57855110483032
604,653,2,203.08339376122788
604,653,1,198.08339376122788
604,653,1,98.08339376122788
604,653,1,133.08339376122788
604,499,1,101.57855110483032
604,499,1,116.57855110483032
650,653,1,235.5988463771659
653,604,1,218.08339376122788
653,604,1,193.08339376122788
653,604,1,208.08339376122788
650,653,1,325.5988463771659
650,653,2,320.5988463771659
650,653,1,310.5988463771659
650,653,1,305.5988463771659
650,653,1,290.5988463771659
650,653,1,285.5988463771659
650,653,1,185.5988463771659
653,604,1,188.08339376122788
653,604,1,198.08339376122788
650,653,1,315.5988463771659
650,653,1,310.5988463771659
650,653,6,305.5988463771659
650,653,2,300.5988463771659
653,604,1,218.08339376122788
653,604,1,198.08339376122788
650,653,1,270.5988463771659
653,604,1,183.08339376122788
653,604,1,198.08339376122788
653,604,2,203.08339376122788
653,604,1,208.08339376122788
650,653,1,310.5988463771659
650,653,3,305.5988463771659
650,653,3,300.5988463771659
650,653,1,200.5988463771659
650,653,1,240.5988463771659
653,604,1,213.08339376122788
650,653,2,270.5988463771659
650,653,1,265.5988463771659
650,499,1,170.9077520313411
653,604,1,193.08339376122788
653,604,2,198.08339376122788
653,604,1,203.08339376122788
650,653,2,295.5988463771659
650,653,1,290.5988463771659
650,653,1,200.5988463771659
650,653,1,225.5988463771659
650,499,1,175.9077520313411
653,604,1,193.08339376122788
650,653,1,285.5988463771659
653,604,1,208.08339376122788
650,653,1,210.5988463771659
